# EngineShelf - what each shelf version brought, from MDN browser-compat-data.
# Written by tools/features.py. F <engine> <id> <count> <name>|<name>|...
# The count is every feature that version was first to support; the names are the
# most notable 14 of them, so a row can say what it brought without shipping all of it.
F	chromium	84	43	<iframe>|appearance|column-gap|FinalizationRegistry|FinalizationRegistry.FinalizationRegistry|FinalizationRegistry.register|FinalizationRegistry.unregister|gap|Intl.DateTimeFormat|row-gap|ruby-position|WeakRef|WeakRef.deref|WeakRef.WeakRef
F	chromium	85	34	@media|@page|@property|AggregateError|AggregateError.AggregateError|AggregateError.errors|content-visibility|counter-set|page|Promise.any|String.replaceAll|logical and assignment|logical or assignment|nullish coalescing assignment
F	chromium	86	30	:focus-visible|:marker|<iframe>|Intl.Collator|Clipboard|DataTransferItem|Document|DocumentFragment|Element|FetchEvent|FileSystemDirectoryHandle|FileSystemFileHandle|FileSystemHandle|FileSystemWritableFileStream
F	chromium	87	48	<iframe>|@font-face|border-block|border-block-color|border-block-style|border-block-width|border-inline|border-inline-color|border-inline-style|border-inline-width|hyphens|inset|inset-block|inset-block-end
F	chromium	88	33	:is|:not|:where|<a>|<area>|aspect-ratio|clip-path|hyphens|arbitrary module namespace identifier names|basic-shape()|BarcodeDetector|Element|ElementInternals|RTCPeerConnection
F	chromium	89	40	:file-selector-button|:target-text|<iframe>|<script>|<summary>|@media|border-end-end-radius|border-end-start-radius|border-start-end-radius|border-start-start-radius|filter|forced-color-adjust|list-style-type|text-decoration-thickness
F	chromium	90	32	<source>|Atomics.waitAsync|overflow|overflow-clip-margin|overflow-x|overflow-y|RegExp.hasIndices|overflow()|AbstractRange|CustomStateSet|ElementInternals|EventTarget|HTMLSourceElement|Navigator
F	chromium	91	110	@counter-style|Intl.DateTimeFormat|Intl.NumberFormat|list-style-type|import assertions|options parameter|private class fields in|service worker support|trailing commas in dynamic import|type json|CSSCounterStyleRule|GravitySensor|Navigator|NavigatorManagedData
F	chromium	92	13	@font-face|Array.at|Intl.DateTimeFormat|String.at|TypedArray.at|Bluetooth|Crypto|Element|HTMLCanvasElement|HTMLSlotElement|ImageData|Navigator|block mixed downloads
F	chromium	93	26	<form>|<iframe>|<textarea>|accent-color|align-content|align-items|align-self|Error.cause|Error.Error|justify-content|Object.hasOwn|env()|type css|AbortSignal
F	chromium	94	38	<iframe>|flex|flex-basis|outline|scrollbar-gutter|env()|initialization blocks|virtualkeyboardpolicy attribute|AudioData|AudioDecoder|AudioEncoder|DelegatedInkTrailPresenter|EncodedAudioChunk|EncodedVideoChunk
F	chromium	95	20	contain-intrinsic-block-size|contain-intrinsic-height|contain-intrinsic-inline-size|contain-intrinsic-width|Intl.DateTimeFormat|CredentialsContainer|EyeDropper|PaymentRequest|PerformanceObserver|reportError|URLPattern|Exception|exception-handling|getArg
F	chromium	96	20	@media|Document|EyeDropper|HTMLScriptElement|PerformanceEventTiming|RTCStatsReport|credentialless|default|externref|funcref|receives crash type|receives deprecation type|reference-types|report-to parameter
F	chromium	97	22	<details>|Array.findLast|Array.findLastIndex|font-synthesis|font-synthesis-small-caps|font-synthesis-style|font-synthesis-weight|TypedArray.findLast|TypedArray.findLastIndex|transform-function()|PermissionStatus|SharedWorker|WebTransport|WebTransportBidirectionalStream
F	chromium	98	19	@font-face|@media|AggregateError.serializable_object|color-scheme|contain-intrinsic-block-size|contain-intrinsic-height|contain-intrinsic-inline-size|contain-intrinsic-size|contain-intrinsic-width|AbortController|AbortSignal|BarProp|CredentialsContainer|PublicKeyCredential
F	chromium	99	21	@import|@layer|Intl.Locale|Intl.supportedValuesOf|text-emphasis|text-emphasis-color|text-emphasis-position|text-emphasis-style|calc-keyword()|global_keywords()|CanvasRenderingContext2D|CSSImportRule|CSSLayerBlockRule|CSSLayerStatementRule
F	chromium	100	14	<iframe>|mix-blend-mode|AbortSignal|CSSMathClamp|Element|HIDDevice|OES_draw_buffers_indexed|Screen|ScreenDetailed|ScreenDetails|WebTransport|Window|Sec-CH-UA-WoW64|window-management
F	chromium	101	11	<img>|<link>|<script>|@font-palette-values|font-palette|color()|CSSFontPaletteValuesRule|fetch|MediaCapabilities|Request|USBDevice
